target,nematode_shannon_z,macro_shannon_z,earthworm_shannon_z,orib_shannon_z,meso_shannon_z,coll_shannon_z,bac_shannon_z,fun_shannon_z,euk_shannon_z,oomy_shannon_z,cerc_shannon_z,macro_order_richness_z,earthworm_richness_z,orib_species_richness_z,meso_species_richness_z,coll_species_richness_z,bac_asv_richness_z,fun_asv_richness_z,euk_asv_richness_z,oomy_asv_richness_z,cerc_asv_richness_z
cerc_shannon_z,0.12335191386319977,0.031568733435133334,0.052061967739422926,0.04713288204323504,0.07831969282741588,0.07539381680256604,0.08299815619358411,0.055402056284176,0.04395648855619273,0.17412117450301032,0.0,0.011670371076736956,0.0580528711346741,0.07227849379830469,0.078759098069718,0.08269501631563694,0.10328685194354648,0.010617872425731534,0.014039454278312848,0.053862652661496785,0.36848708488324455
macro_order_richness_z,0.15197759947012404,0.07388299158718081,0.07846076249276686,0.02546927311508477,0.002424897856119712,0.10519181357044308,0.07711689096965679,0.13531547886026124,0.050734215618394696,0.04126945255522344,0.011670371076736956,0.0,0.08314772479414616,0.010732195100448885,0.005023676138592691,0.09793400802503148,0.060935494851828406,0.0007875086295607223,0.05779843990268672,0.056380357722832036,0.14620290774132663
earthworm_richness_z,0.06477335125402564,0.09256791781576447,0.09727380263989316,0.18146221653927883,0.020512820856142526,0.04073482151483637,0.057540133686684466,0.1516529087427561,0.1334876367113878,0.08976133156354901,0.0580528711346741,0.08314772479414616,0.0,0.16170303476345832,0.033507857422932406,0.04954682737953586,0.011370345827414459,0.08245114852661917,0.1720219461847134,0.0008535610713954755,0.02463985619514248
orib_species_richness_z,0.0046048785166245,0.0018692155351639067,0.20865543355002777,0.11151806096674843,0.20794606144059236,0.0726842577195939,0.018587188133169313,0.03107462669445642,0.10207750885469226,0.09327756595065295,0.07227849379830469,0.010732195100448885,0.16170303476345832,0.0,0.2223194557528606,0.06940887467805476,0.013475602467474295,0.038664055302755074,0.09572056821288454,0.08126737393628827,0.015485994249317882
meso_species_richness_z,0.01419560611134496,0.012505490981166389,0.012830051096096421,0.25002199264616454,0.04953788929579939,0.24888620695813496,0.020021843904738535,0.005250253263261548,0.06897749248042198,0.020877000081196265,0.078759098069718,0.005023676138592691,0.033507857422932406,0.2223194557528606,0.0,0.2419749423902086,0.03299228583686908,0.20128780341538757,0.026846088606392236,0.041652333833809355,0.07476557741933393
coll_species_richness_z,0.013853549373286748,0.1321612228629682,0.06455083217809071,0.05730158167998872,0.2509650189483747,0.0533350239808742,0.03592437636290252,0.1581300169545071,0.03216507467264325,0.06885075413587229,0.08269501631563694,0.09793400802503148,0.04954682737953586,0.06940887467805476,0.2419749423902086,0.0,0.04984565360122961,0.06616007578771589,0.0017156262392782097,0.12165253112338653,0.08999938685984885
bac_asv_richness_z,0.012325184493380437,0.012532209259103921,0.05186259564272374,0.023978163210996002,0.02655766376567128,0.05081088271612831,0.11801749813187468,0.147091234485253,0.04901569517214903,0.10675778337976698,0.10328685194354648,0.060935494851828406,0.011370345827414459,0.013475602467474295,0.03299228583686908,0.04984565360122961,0.0,0.08410108123859666,0.0629501676050106,0.08853794769761587,0.02621017098999814
fun_asv_richness_z,0.19538176346917668,0.023833992001280654,0.13582590104049957,0.039980717874698674,0.1909448514296079,0.09628591375363534,0.09246142997635752,0.030046866791695714,0.0536241172086071,0.21135141373633695,0.010617872425731534,0.0007875086295607223,0.08245114852661917,0.038664055302755074,0.20128780341538757,0.06616007578771589,0.08410108123859666,0.0,0.018479230705052363,0.04349999228483179,0.03652120152144642
euk_asv_richness_z,0.07354449688469925,0.08180102491689889,0.19319829864627078,0.10614128280782037,0.03714454817578643,0.011126149854420776,0.05221835486045217,0.1012440008680147,0.23966212838920387,0.057923001651730414,0.014039454278312848,0.05779843990268672,0.1720219461847134,0.09572056821288454,0.026846088606392236,0.0017156262392782097,0.0629501676050106,0.018479230705052363,0.0,0.042541616381545716,0.08948082468416754
oomy_asv_richness_z,0.037804362718637685,0.06687543658456946,0.03451628934600541,0.061126233829648435,0.047593327161033594,0.11310675047454052,0.07090824152298264,0.0171742106947445,0.07190492830537253,0.3515622494803016,0.053862652661496785,0.056380357722832036,0.0008535610713954755,0.08126737393628827,0.041652333833809355,0.12165253112338653,0.08853794769761587,0.04349999228483179,0.042541616381545716,0.0,0.20288418280351034
cerc_asv_richness_z,0.0086791590338223,0.14048722859211374,0.0007392594325461646,0.007964722267877271,0.0666481243441143,0.07258316372249765,0.0863674495057025,0.06613202535493229,0.09862501908989821,0.2506769025202574,0.36848708488324455,0.14620290774132663,0.02463985619514248,0.015485994249317882,0.07476557741933393,0.08999938685984885,0.02621017098999814,0.03652120152144642,0.08948082468416754,0.20288418280351034,0.0
