random_state,r2_global,rmse_global,mae_global,nematode_shannon_z_r2,macro_shannon_z_r2,earthworm_shannon_z_r2,orib_shannon_z_r2,meso_shannon_z_r2,coll_shannon_z_r2,bac_shannon_z_r2,fun_shannon_z_r2,euk_shannon_z_r2,oomy_shannon_z_r2,cerc_shannon_z_r2,macro_order_richness_z_r2,earthworm_richness_z_r2,orib_species_richness_z_r2,meso_species_richness_z_r2,coll_species_richness_z_r2,bac_asv_richness_z_r2,fun_asv_richness_z_r2,euk_asv_richness_z_r2,oomy_asv_richness_z_r2,cerc_asv_richness_z_r2
30,0.04954153865357186,0.9304300956078533,0.6986717667495596,0.16503218595319735,0.2697250701175735,0.4747196860813725,0.14885287433096894,-0.1818802648433422,-1.0008165271987792,-0.006221603651318963,-0.026272364871256393,0.1505538363874369,0.11013853101692217,-0.0010042226391939746,0.3928459241426654,0.5324863910699882,0.1777031259461277,-0.09990266018907978,-0.5387653405055228,-0.036907005726863895,-0.005868650533184194,0.24084449492466564,0.19521277147850558,0.07989606043412656
31,0.04918338608904711,0.92961929082818,0.6940471399025177,0.1535059559164189,0.1797964437560975,0.4655832199829957,0.18358775199166277,-0.11579665590990351,-0.9768306783818819,0.03527635250395478,-0.04311482982485715,0.15147462873087147,0.09385151972614703,-0.010142048938230896,0.3471363332516132,0.533862719044552,0.17149894099683838,-0.07731640243143523,-0.6002340581899028,0.0036091535126140384,-0.026757290374579412,0.24337741489247977,0.20156899046953725,0.11891364714499764
32,0.04843990407826414,0.9309468929119067,0.6954977762729355,0.17347423074507085,0.29507835266336724,0.4551856482840698,0.20965819549429088,-0.4733095646260881,-0.8533473388018613,-0.024148203082675623,-0.02677267684273521,0.12672675225753138,0.09489752621103531,0.009886781786351051,0.41294007700317614,0.5301524265280554,0.23271710483069763,-0.047548997869097276,-0.6301390419123301,-0.06408083942264575,-0.004199079656016069,0.2902067022788939,0.19587488256309438,0.11398504721136216
33,0.05204808323837679,0.9309121559804592,0.6978128818556728,0.14456768343305115,0.1987499834728773,0.47465723349873357,0.15540162652346834,-0.17384201271777489,-0.827954914982983,0.029662802519439313,-0.04231806561522555,0.17054403361678894,0.11507775918363317,0.004734329621530198,0.3588394061093034,0.5058872394031138,0.1744511089006605,-0.07925997106793448,-0.5765681399038745,-0.005569143841663182,-0.04443481270442007,0.23396657293376422,0.18939165234682898,0.08702537727659532
34,0.05434333215799049,0.9283886047781587,0.6895631625112782,0.14233993720933613,0.12048918599588776,0.49297340382400145,0.199763103962184,-0.27094652134921215,-0.9300810966187836,0.05705119279644466,-0.032389669440240354,0.16534992637736645,0.11743835687158011,0.004750881640866789,0.3444643165320572,0.5388712969753473,0.21493170274710127,-0.06641127093140486,-0.5103364780243871,0.0348343535442579,-0.040475858038872436,0.2464548734860258,0.17625977037453433,0.13587856738370985
35,0.059325092735927086,0.9287037872798479,0.6980235366543204,0.15842941051990456,0.1487156376309725,0.5033486028343587,0.16101030149540163,-0.3180571370161558,-0.3457390079399554,0.015410143199922843,-0.03696897516475506,0.17112449714617217,0.12358881879354333,-0.003220871360025024,0.3287888648379045,0.5329993842600464,0.2236354812347714,-0.06797155141216149,-0.8424276645316777,-0.015098692738700237,-0.04241181853521914,0.24184626322645664,0.18054658057442396,0.12827868039923984
36,0.04657618264832417,0.9339748517571915,0.6956713211136988,0.14139923719813863,0.17696041039463473,0.4780432087239952,0.18831152968412135,-0.3854224534077191,-0.8921493919587682,0.03422392366098226,-0.03147664380348658,0.13883915674909453,0.10196822032851727,-0.009744146019206923,0.3485762618150601,0.5165652760986401,0.2219240704776928,-0.05068633706452297,-0.46645574113396004,0.0013097320685984126,-0.050508592393496254,0.25568803806389817,0.1593097209391332,0.10142435519346105
37,0.06823153036255716,0.9232334186605435,0.6971680919878726,0.14581452769030945,0.3113048418647464,0.4693547144324234,0.17277936811657035,-0.16795572019869032,-0.33362435170610527,0.008690817518143712,-1.751490219970009e-05,0.1528738402002061,0.07863484833234313,-0.028996183133806586,0.38857883453813313,0.512347228838661,0.18676586298800257,-0.09789161032818972,-0.9128360168347998,-0.02247877428052658,-0.03771963445291271,0.2733147635055426,0.22189337585389557,0.11202891957195382
38,0.04291032944297266,0.9344170655912499,0.6981217359046968,0.1305228426436088,0.09062373919099453,0.49343332583334,0.230137583326798,-0.3727869409157407,-0.8700395099647737,-0.006893500225709781,-0.03171228874264109,0.17661169659907194,0.10036681427276384,-0.022280804824781564,0.3249239696845454,0.5217688913156195,0.2359634183012853,-0.04873175484057546,-0.5350060697910615,-0.01996324879967526,-0.03990574748181275,0.24334063345570034,0.2026331885778897,0.09811068068758044
39,0.06341959947687695,0.9239990637971003,0.6849036478017567,0.1550585669617398,0.2963654804990238,0.4933774883700949,0.17267258802976793,-0.3055624733382467,-0.8941401859610834,0.04291671557610688,-0.04805969352391393,0.14930355761739922,0.11201336445239574,0.003936504328614587,0.3903378154499786,0.5247868162296014,0.21673427622315167,-0.042757637240482094,-0.5419804326595934,0.03191094433789099,-0.02591425393149982,0.26993920879352284,0.20078594164523866,0.13008699715470817
40,0.05442063867118377,0.9296514909053372,0.6915065916132035,0.1780326339070436,0.1299444477705617,0.4653590245694579,0.17368415577034413,-0.34705358892109506,-0.8193954170398918,0.04071368143792997,-0.00624253217937798,0.17648129118044875,0.07735008406085564,0.002769785665201252,0.3318651915217792,0.5431426709145558,0.19577509696633333,-0.05094939719257163,-0.5425044923180475,0.0045970301993878415,-0.018820437151936265,0.2361373718537687,0.22549114998793518,0.14645566109217634
