random_state,target,r2,Modelo,posicion
0,meso_shannon_z,-0.5215049799920788,MLP Estandar,7
0,meso_shannon_z,-0.6094654123048844,MLP Perdida Custom,8
0,meso_species_richness_z,-0.0241403416364693,RandomForest Multisalida,1
0,meso_species_richness_z,-0.0329862688027569,RF Individual,2
0,meso_species_richness_z,-0.0765540820212611,Random Forest con RegressorChain,3
0,meso_species_richness_z,-0.0959168294079584,Regresión Individual,4
0,meso_species_richness_z,-0.1043117289627342,XGBoost Multisalida,5
0,meso_species_richness_z,-0.1809318149826448,XGBoost Individual,6
0,meso_species_richness_z,-0.2965726601390301,MLP Estandar,7
0,meso_species_richness_z,-0.368700654594013,MLP Perdida Custom,8
0,nematode_shannon_z,0.2259074813607811,XGBoost Multisalida,1
0,nematode_shannon_z,0.1562350131003351,RandomForest Multisalida,2
0,nematode_shannon_z,0.1532142438509611,RF Individual,3
0,nematode_shannon_z,0.13998135389772,Random Forest con RegressorChain,4
0,nematode_shannon_z,0.1367928685847697,XGBoost Individual,5
0,nematode_shannon_z,0.0967186176059511,MLP Estandar,6
0,nematode_shannon_z,0.0501324150866518,MLP Perdida Custom,7
0,nematode_shannon_z,0.011160511952442,Regresión Individual,8
0,oomy_asv_richness_z,0.1925057419895771,RandomForest Multisalida,1
0,oomy_asv_richness_z,0.1877940459900771,RF Individual,2
0,oomy_asv_richness_z,0.1675659208690636,Random Forest con RegressorChain,3
0,oomy_asv_richness_z,0.1383635525509026,XGBoost Multisalida,4
0,oomy_asv_richness_z,0.1034625001826371,Regresión Individual,5
0,oomy_asv_richness_z,0.0733622030756572,XGBoost Individual,6
0,oomy_asv_richness_z,0.0591806214061121,MLP Perdida Custom,7
0,oomy_asv_richness_z,-0.0145082883345541,MLP Estandar,8
0,oomy_shannon_z,0.1223924592371373,RandomForest Multisalida,1
0,oomy_shannon_z,0.0891661394216607,MLP Estandar,2
0,oomy_shannon_z,0.0869448795617706,XGBoost Individual,3
0,oomy_shannon_z,0.0857221154957514,Regresión Individual,4
0,oomy_shannon_z,0.0807541526858557,Random Forest con RegressorChain,5
0,oomy_shannon_z,0.0792837518139837,RF Individual,6
0,oomy_shannon_z,0.0448522595150634,XGBoost Multisalida,7
0,oomy_shannon_z,0.0408795119238751,MLP Perdida Custom,8
0,orib_shannon_z,0.2540731295502454,XGBoost Multisalida,1
0,orib_shannon_z,0.2408642734506987,MLP Estandar,2
0,orib_shannon_z,0.199243799285024,Random Forest con RegressorChain,3
