random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios
68,0.54235616216938,0.5988332257911011,XGBoost Multisalida,0.5705946939802405
69,0.5293084418027241,0.5866709828612748,XGBoost Multisalida,0.5579897123319995
70,0.5549055095073917,0.5621365228641588,XGBoost Multisalida,0.5585210161857752
71,0.5239585720062643,0.5857506269556501,XGBoost Multisalida,0.5548545994809572
72,0.542085856648266,0.5702825113431438,XGBoost Multisalida,0.5561841839957049
73,0.5347329609396437,0.5804378486685275,XGBoost Multisalida,0.5575854048040856
74,0.5420839316276571,0.5813921607613979,XGBoost Multisalida,0.5617380461945275
75,0.5236098242470062,0.5782188212257803,XGBoost Multisalida,0.5509143227363933
76,0.5386388808409213,0.6028434662731096,XGBoost Multisalida,0.5707411735570154
77,0.5379077351218826,0.5624267686529395,XGBoost Multisalida,0.550167251887411
78,0.5404675224221448,0.5854031046390921,XGBoost Multisalida,0.5629353135306184
79,0.5273360375259428,0.6010273344620953,XGBoost Multisalida,0.5641816859940191
80,0.5281167089784944,0.5870844974245366,XGBoost Multisalida,0.5576006032015155
81,0.5209984108547787,0.5747138626153192,XGBoost Multisalida,0.547856136735049
82,0.5439623370157822,0.593600436133025,XGBoost Multisalida,0.5687813865744036
83,0.5526877493746551,0.5759708268395551,XGBoost Multisalida,0.5643292881071051
84,0.5361803096679378,0.5888599717475009,XGBoost Multisalida,0.5625201407077194
85,0.5402546651037683,0.6075409790904833,XGBoost Multisalida,0.5738978220971258
86,0.5237886652965615,0.5761033549172643,XGBoost Multisalida,0.5499460101069129
87,0.5168983600703377,0.5761812393613632,XGBoost Multisalida,0.5465397997158505
88,0.5419773194679645,0.5744982955955245,XGBoost Multisalida,0.5582378075317445
89,0.5344217007273311,0.5766211207672945,XGBoost Multisalida,0.5555214107473128
90,0.5327782291285319,0.5924231288971706,XGBoost Multisalida,0.5626006790128513
91,0.5222508245250684,0.6010742039926413,XGBoost Multisalida,0.5616625142588549
92,0.5480715749352258,0.5861573366682771,XGBoost Multisalida,0.5671144558017515
93,0.5284756558955989,0.5861106588297174,XGBoost Multisalida,0.557293157362658
94,0.519075642467735,0.5928133358550989,XGBoost Multisalida,0.5559444891614169
95,0.5312328025153428,0.5912110428600318,XGBoost Multisalida,0.5612219226876873
96,0.5444163255566787,0.5896596501881762,XGBoost Multisalida,0.5670379878724274
