random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios,posicion
200,0.3379081784445853,0.4288492288823134,MLP Perdida Custom,0.3833787036634494,7
200,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
210,0.5392533367403618,0.6103691991569911,XGBoost Multisalida,0.5748112679486764,1
210,0.5043205884383675,0.5243188669462782,RF Individual,0.5143197276923228,2
210,0.4805147180489809,0.5308385049371073,Random Forest con RegressorChain,0.5056766114930441,3
210,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
210,0.4120193717552416,0.4481680486850726,RandomForest Multisalida,0.4300937102201571,5
210,0.3721900603952411,0.4592973075946285,MLP Estandar,0.4157436839949348,6
210,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,7
210,0.1761840121157651,0.2934000735704813,MLP Perdida Custom,0.23479204284312322,8
220,0.5337344254079182,0.5712523319886932,XGBoost Multisalida,0.5524933786983057,1
220,0.5062034605532049,0.5415379798880648,RF Individual,0.5238707202206349,2
220,0.4887119503022223,0.5222255426569531,Random Forest con RegressorChain,0.5054687464795877,3
220,0.4301904938278765,0.5239622257556096,MLP Estandar,0.477076359791743,4
220,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
220,0.3831478943423039,0.4789683196916258,MLP Perdida Custom,0.43105810701696484,6
220,0.399054511293386,0.4298114276460063,RandomForest Multisalida,0.41443296946969616,7
220,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
230,0.551200835733799,0.568262843003843,XGBoost Multisalida,0.559731839368821,1
230,0.5026263484720686,0.5417874917257994,RF Individual,0.522206920098934,2
230,0.4736628390054186,0.5411630498731386,Random Forest con RegressorChain,0.5074129444392785,3
230,0.4659797118055089,0.5179828961972783,MLP Perdida Custom,0.4919813040013936,4
230,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
230,0.4097907916942941,0.4472016766399389,RandomForest Multisalida,0.4284962341671165,6
230,0.3678124752854163,0.4563239763340656,MLP Estandar,0.4120682258097409,7
